hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag
HV0005,B03406,,2023-08-16 08:58:08,,2023-08-16 09:05:51,2023-08-16 09:11:24,131,130,0.879,333,7.74,0.0,0.21,0.69,0.0,0.0,0.0,5.47,N,N,N,N,Y
HV0003,B03404,B03404,2023-08-31 19:40:41,2023-08-31 19:44:43,2023-08-31 19:44:43,2023-08-31 20:12:30,100,224,2.67,1667,30.63,0.0,0.84,2.72,2.75,0.0,0.0,19.91,N,N, ,N,N
HV0005,B03406,,2023-08-26 09:36:05,,2023-08-26 09:41:32,2023-08-26 10:08:13,63,256,4.401,1601,30.95,0.0,0.85,2.75,0.0,0.0,0.0,21.02,N,N,N,N,N
HV0005,B03406,,2023-08-26 00:37:01,,2023-08-26 00:42:11,2023-08-26 00:54:56,79,186,2.106,765,15.25,0.0,0.42,1.35,2.75,0.0,0.0,10.05,N,N,N,N,N
HV0005,B03406,,2023-08-03 13:47:03,,2023-08-03 13:49:46,2023-08-03 13:57:42,220,241,0.674,476,7.86,0.0,0.19,0.62,0.0,0.0,0.0,5.47,N,N,N,N,N
HV0005,B03406,,2023-08-13 20:43:36,,2023-08-13 20:48:15,2023-08-13 20:58:04,211,148,0.953,589,12.93,0.0,0.36,1.15,2.75,0.0,0.0,7.1,N,N,N,N,N
HV0003,B03404,B03404,2023-08-01 18:07:49,2023-08-01 18:09:47,2023-08-01 18:10:08,2023-08-01 18:49:47,229,51,13.24,2379,42.86,6.55,1.36,4.39,2.75,0.0,0.0,39.8,N,N, ,N,N
HV0003,B03404,B03404,2023-08-29 14:07:25,2023-08-29 14:10:10,2023-08-29 14:12:11,2023-08-29 14:34:37,165,26,3.1,1346,18.93,0.0,0.52,1.68,0.0,0.0,0.0,16.72,N,N, ,N,N
HV0005,B03406,,2023-08-07 15:43:18,,2023-08-07 15:50:33,2023-08-07 16:16:03,64,92,7.245,1530,25.07,0.0,0.69,2.22,0.0,0.0,4.2,24.1,N,N,N,N,N
HV0005,B03406,,2023-08-22 08:44:07,,2023-08-22 08:56:05,2023-08-22 09:27:51,89,25,3.636,1906,26.69,0.0,0.73,2.37,0.0,0.0,0.0,24.11,N,N,N,N,Y
HV0003,B03404,B03404,2023-08-12 16:36:27,2023-08-12 16:42:29,2023-08-12 16:42:29,2023-08-12 16:53:38,195,33,1.33,669,12.53,0.0,0.34,1.11,0.0,0.0,0.0,8.08,N,N, ,N,N
HV0003,B03404,B03404,2023-08-04 07:31:59,2023-08-04 07:37:18,2023-08-04 07:39:08,2023-08-04 07:54:55,17,80,2.16,947,14.31,0.0,0.39,1.27,0.0,0.0,0.0,11.74,N,N, ,N,N
HV0005,B03406,,2023-08-19 21:05:55,,2023-08-19 21:10:56,2023-08-19 21:29:58,7,157,3.822,1142,23.71,0.0,0.65,2.11,0.0,0.0,0.0,15.9,N,N,N,N,N
HV0005,B03406,,2023-08-08 16:50:24,,2023-08-08 16:52:39,2023-08-08 17:02:23,188,62,0.793,584,7.86,0.0,0.22,0.7,0.0,0.0,0.0,6.85,N,N,N,N,Y
HV0003,B03404,B03404,2023-08-31 21:55:24,2023-08-31 22:17:10,2023-08-31 22:17:41,2023-08-31 22:28:18,256,112,1.86,637,11.56,0.0,0.32,1.03,0.0,0.0,0.0,18.16,N,N, ,N,N
HV0003,B03404,B03404,2023-08-01 17:22:49,2023-08-01 17:23:00,2023-08-01 17:23:51,2023-08-01 17:46:23,158,237,4.81,1352,28.63,0.0,0.79,2.54,2.75,0.0,0.0,19.03,N,N, ,N,N
HV0003,B03404,B03404,2023-08-06 20:58:29,2023-08-06 21:02:35,2023-08-06 21:02:55,2023-08-06 21:20:20,17,66,3.84,1045,18.74,0.0,0.52,1.66,0.0,0.0,0.0,14.87,N,N, ,N,N
HV0003,B03404,B03404,2023-08-08 11:34:43,2023-08-08 11:37:27,2023-08-08 11:37:31,2023-08-08 11:59:53,246,231,2.98,1342,24.4,0.0,0.67,2.17,2.75,0.0,5.99,17.22,N,N, ,N,N
HV0003,B03404,B03404,2023-08-10 20:48:58,2023-08-10 20:52:51,2023-08-10 20:54:51,2023-08-10 21:27:50,116,234,8.4,1979,31.72,0.0,0.87,2.82,2.75,0.0,0.0,29.64,N,N, ,N,N
HV0003,B03404,B03404,2023-08-29 11:40:24,2023-08-29 11:41:12,2023-08-29 11:43:13,2023-08-29 12:01:47,137,249,1.97,1114,18.29,0.0,0.5,1.62,2.75,0.0,2.19,13.06,N,N, ,N,N
HV0003,B03404,B03404,2023-08-02 21:48:27,2023-08-02 21:57:00,2023-08-02 21:57:22,2023-08-02 22:09:18,171,16,2.38,716,15.29,0.0,0.42,1.36,0.0,0.0,0.0,9.86,N,N, ,N,N
HV0005,B03406,,2023-08-30 23:52:59,,2023-08-31 00:00:49,2023-08-31 01:49:49,181,265,19.137,6540,115.25,26.94,3.91,0.0,0.0,0.0,0.0,98.01,N,N,N,N,Y
HV0005,B03406,,2023-08-15 09:27:19,,2023-08-15 09:30:34,2023-08-15 09:46:38,132,205,4.885,964,18.33,0.0,0.51,1.65,0.0,2.5,0.0,15.61,N,N,N,N,N
HV0003,B03404,B03404,2023-08-17 17:19:37,2023-08-17 17:37:54,2023-08-17 17:38:47,2023-08-17 18:05:02,170,48,1.32,1575,21.71,0.0,0.6,1.93,2.75,0.0,0.0,16.57,N,N, ,N,N
HV0003,B03404,B03404,2023-08-12 20:04:15,2023-08-12 20:05:22,2023-08-12 20:07:23,2023-08-12 20:31:51,131,131,4.45,1468,25.24,0.0,0.69,2.24,0.0,0.0,0.0,23.6,N,N, ,N,Y
HV0003,B03404,B03404,2023-08-20 21:58:15,2023-08-20 22:00:56,2023-08-20 22:01:04,2023-08-20 22:05:33,90,249,0.75,269,8.25,0.0,0.23,0.73,2.75,0.0,0.0,5.48,N,N, ,N,N
HV0003,B03404,B03404,2023-08-09 18:46:57,2023-08-09 18:48:53,2023-08-09 18:49:15,2023-08-09 19:08:39,129,82,5.8,1164,19.64,0.0,0.54,1.74,0.0,0.0,0.0,18.94,N,N, ,N,N
HV0003,B03404,B03404,2023-08-05 07:27:49,2023-08-05 07:29:38,2023-08-05 07:32:01,2023-08-05 07:49:44,247,159,1.96,1063,16.24,0.0,0.45,1.44,0.0,0.0,3.0,12.58,N,N, ,N,N
HV0003,B03404,B03404,2023-08-15 09:56:16,2023-08-15 09:59:45,2023-08-15 09:59:47,2023-08-15 10:20:57,244,263,6.24,1270,30.86,0.0,0.85,2.74,2.75,0.0,0.0,20.47,N,N, ,N,N
HV0003,B03404,B03404,2023-08-06 17:45:53,2023-08-06 17:48:16,2023-08-06 17:48:30,2023-08-06 17:56:15,231,114,1.4,465,17.63,0.0,0.48,1.56,2.75,0.0,0.0,11.29,N,N, ,N,N
HV0003,B03404,B03404,2023-08-19 10:56:31,2023-08-19 11:00:10,2023-08-19 11:00:30,2023-08-19 11:10:47,198,102,1.54,617,7.98,0.0,0.22,0.71,0.0,0.0,0.0,7.82,N,N, ,N,N
HV0003,B03404,B03404,2023-08-14 21:43:27,2023-08-14 21:44:29,2023-08-14 21:46:29,2023-08-14 22:01:03,130,216,3.12,874,15.61,0.0,0.43,1.39,0.0,0.0,0.0,12.59,N,N, ,N,N
HV0003,B03404,B03404,2023-08-06 01:41:26,2023-08-06 01:54:23,2023-08-06 01:54:33,2023-08-06 02:08:49,144,265,4.37,856,28.65,20.0,1.34,0.0,0.0,0.0,4.99,16.79,N,N, ,N,N
HV0003,B03404,B03404,2023-08-15 20:05:00,2023-08-15 20:06:39,2023-08-15 20:07:07,2023-08-15 20:25:51,263,202,4.41,1124,22.53,0.0,0.62,2.0,2.75,0.0,0.0,16.43,N,N, ,N,N
HV0003,B03404,B03404,2023-08-27 23:13:45,2023-08-27 23:16:33,2023-08-27 23:16:53,2023-08-27 23:34:06,249,4,1.8,1033,12.67,0.0,0.35,1.12,2.75,0.0,0.0,12.08,N,N, ,N,N
HV0005,B03406,,2023-08-18 23:50:22,,2023-08-19 00:00:15,2023-08-19 00:11:58,191,205,2.944,703,15.83,0.0,0.44,1.4,0.0,0.0,0.0,10.56,N,N,N,N,N
HV0003,B03404,B03404,2023-08-12 18:33:41,2023-08-12 18:37:08,2023-08-12 18:38:24,2023-08-12 19:21:49,188,114,7.04,2605,44.44,0.0,1.22,3.94,2.75,0.0,0.0,39.01,N,N, ,N,N
HV0003,B03404,B03404,2023-08-24 19:37:23,2023-08-24 19:39:02,2023-08-24 19:39:12,2023-08-24 19:56:32,170,237,2.05,1040,14.44,0.0,0.4,1.28,2.75,0.0,0.0,15.46,N,N, ,N,Y
