name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York,2019-02-01T00:00:00,-9.4,-15.4,-18.5,47.32,0,0,,0,0,,13.1,250,1030.9,0.4,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2019-02-01T01:00:00,-9.4,-15.9,-18.6,47.16,0,0,,0,0,44.6,14.9,260,1030.5,0.4,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2019-02-01T02:00:00,-9.4,-15.5,-19.1,45.09,0,0,,0,0,,13.1,261,1030.8,0.4,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2019-02-01T03:00:00,-9.4,-13.7,-19.1,45.09,0,0,,0,0,42.5,7.9,300,1031.1,0.4,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2019-02-01T04:00:00,-10.1,-16.8,-18.6,49.82,0,0,,0,0,25.9,15,261,1031.2,0.4,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2019-02-01T05:00:00,-10.1,-15.2,-18.6,49.88,0,0,,0,0,,9.6,300,1031.2,0.4,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2019-02-01T06:00:00,-10.1,-14.5,-18.6,49.77,0,0,,0,0,,7.7,241,1031.2,0.4,16,0.2,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2019-02-01T07:00:00,-10.7,-16.5,-19.6,47.84,0,0,,0,0,,11.2,261,1031.3,0.4,16,8,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2019-02-01T08:00:00,-10.7,-16.5,-19.6,47.84,0,0,,0,0,,11.3,251,1031.9,47.7,16,44,0.2,0,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2019-02-01T09:00:00,-9.5,-15.5,-19.1,45.21,0,0,,0,0,,13,241,1032.4,1.5,16,134,0.5,1,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
