Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
2019-03-29,87.33,88.6,78.02,78.29,78.29,71485200,2019,3,29
2019-03-30,87.33,88.6,78.02,78.29,78.29,0,2019,3,30
2019-03-31,87.33,88.6,78.02,78.29,78.29,0,2019,3,31
2019-04-01,74.9,75.0,67.78,69.01,69.01,41799300,2019,4,1
2019-04-02,66.9,70.2,66.1,68.97,68.97,22483300,2019,4,2
2019-04-03,70.06,72.0,69.12,70.0,70.0,15648300,2019,4,3
2019-04-04,70.48,72.89,70.22,72.0,72.0,9229300,2019,4,4
2019-04-05,73.94,76.1,73.3,74.45,74.45,11200100,2019,4,5
2019-04-06,73.94,76.1,73.3,74.45,74.45,0,2019,4,6
2019-04-07,73.94,76.1,73.3,74.45,74.45,0,2019,4,7
2019-04-08,74.99,74.99,70.23,70.23,70.23,6599500,2019,4,8
2019-04-09,69.5,69.7,67.11,67.44,67.44,8223300,2019,4,9
2019-04-10,67.25,67.35,59.75,60.12,60.12,26392100,2019,4,10
2019-04-11,61.1,62.3,60.31,61.01,61.01,12405700,2019,4,11
2019-04-12,61.38,61.49,57.66,59.9,59.9,13787500,2019,4,12
2019-04-13,61.38,61.49,57.66,59.9,59.9,0,2019,4,13
2019-04-14,61.38,61.49,57.66,59.9,59.9,0,2019,4,14
2019-04-15,59.72,59.8,55.56,56.11,56.11,14345900,2019,4,15
2019-04-16,56.86,57.94,56.18,56.25,56.25,9965000,2019,4,16
2019-04-17,56.5,59.61,55.62,59.51,59.51,10768300,2019,4,17
2019-04-18,59.65,59.66,57.6,58.36,58.36,6869900,2019,4,18
2019-04-19,59.65,59.66,57.6,58.36,58.36,0,2019,4,19
2019-04-20,59.65,59.66,57.6,58.36,58.36,0,2019,4,20
2019-04-21,59.65,59.66,57.6,58.36,58.36,0,2019,4,21
2019-04-22,57.9,61.23,57.65,60.94,60.94,5265600,2019,4,22
2019-04-23,62.02,62.1,59.33,60.25,60.25,11975000,2019,4,23
2019-04-24,60.11,60.49,57.77,57.82,57.82,5158000,2019,4,24
2019-04-25,58.2,58.46,55.86,56.34,56.34,5097100,2019,4,25
2019-04-26,56.3,57.53,54.32,57.24,57.24,5981000,2019,4,26
2019-04-27,56.3,57.53,54.32,57.24,57.24,0,2019,4,27
2019-04-28,56.3,57.53,54.32,57.24,57.24,0,2019,4,28
2019-04-29,57.6,60.71,56.0,60.59,60.59,7231800,2019,4,29
2019-04-30,59.93,61.4,58.22,59.8,59.8,6072700,2019,4,30
2019-05-01,60.7,60.71,58.53,58.75,58.75,3443000,2019,5,1
2019-05-02,58.44,62.01,57.33,61.5,61.5,6634300,2019,5,2
2019-05-03,61.21,62.99,60.1,62.51,62.51,9393600,2019,5,3
2019-05-04,61.21,62.99,60.1,62.51,62.51,0,2019,5,4
2019-05-05,61.21,62.99,60.1,62.51,62.51,0,2019,5,5
2019-05-06,60.55,61.5,59.9,60.57,60.57,5184600,2019,5,6
2019-05-07,60.34,61.6,58.12,59.34,59.34,11591700,2019,5,7
2019-05-08,57.69,60.45,52.78,52.91,52.91,22640400,2019,5,8
2019-05-09,54.07,56.45,53.1,55.18,55.18,9603500,2019,5,9
2019-05-10,56.39,56.49,50.02,51.09,51.09,23111200,2019,5,10
2019-05-11,56.39,56.49,50.02,51.09,51.09,0,2019,5,11
2019-05-12,56.39,56.49,50.02,51.09,51.09,0,2019,5,12
2019-05-13,50.0,50.09,47.17,48.15,48.15,10007400,2019,5,13
2019-05-14,48.82,51.39,48.0,50.52,50.52,7007400,2019,5,14
2019-05-15,50.2,54.85,49.86,54.04,54.04,7909300,2019,5,15
2019-05-16,54.1,56.72,53.55,55.6,55.6,7101700,2019,5,16
2019-05-17,54.5,55.11,53.46,53.79,53.79,4326500,2019,5,17
